,Cell Volumes,Proto Halo Volumes
0,4.03083281261349e-05,4.390351666117981e-05
1,3.699828554733875e-05,4.6840136153313984e-05
2,3.050882448631058e-05,3.860349125372432e-05
3,2.9073003745802602e-05,3.729878315790834e-05
4,2.8778024720440797e-05,3.3621837259130416e-05
5,2.7378840355166646e-05,3.425960278694385e-05
6,2.6893424427959512e-05,2.9541866526574975e-05
7,2.6233501747593246e-05,3.238929332063564e-05
8,2.5443607328093707e-05,3.2478705808729784e-05
9,2.5339214210386404e-05,2.7531054099472384e-05
10,2.5214140343294697e-05,2.6694231091032112e-05
11,2.4867247695306226e-05,2.9412290061585525e-05
12,2.4806929977405457e-05,2.958555698662019e-05
13,2.4768780265505297e-05,2.821946700739158e-05
14,2.4659829365675785e-05,2.865198914723725e-05
15,2.4292279133951197e-05,2.633140972317527e-05
16,2.424554041328544e-05,2.9362040031445384e-05
17,2.4003307405321745e-05,2.776821418649824e-05
18,2.381750523248337e-05,3.5230172692346534e-05
19,2.344093414759304e-05,2.6748183205278302e-05
20,2.3149578994477964e-05,2.5369931746284867e-05
21,2.2381678474164005e-05,2.4311892213040263e-05
22,2.217144017776063e-05,2.4351513797997256e-05
23,2.214195690296238e-05,2.413719532463461e-05
24,2.2116507667477487e-05,2.454849567318387e-05
25,2.191866481352346e-05,2.8012587363073613e-05
26,2.1807136859574295e-05,2.331122726890154e-05
27,2.1766717397807004e-05,2.50563678311926e-05
28,2.1723268158812594e-05,2.4495719326334183e-05
29,2.1591950875823898e-05,2.6178539377182606e-05
30,2.1588940450499496e-05,2.7366231250083707e-05
31,2.147334410497809e-05,2.4416322904293288e-05
32,2.1445879072202532e-05,2.366905901849375e-05
33,2.129240967734577e-05,2.4912072370341573e-05
34,2.107860324791821e-05,2.2194492106822504e-05
35,2.088556303825476e-05,2.4099136169490672e-05
36,2.0757498518048048e-05,2.4634900738864784e-05
37,2.038274497589284e-05,2.1960264395643132e-05
38,1.9968320876319916e-05,2.1046018546685812e-05
39,1.9559513817921147e-05,2.2190047302332464e-05
40,1.9500835629281438e-05,2.2089988015347706e-05
41,1.947093868009193e-05,2.3639444940430693e-05
42,1.9451169431684625e-05,2.2654599403698033e-05
43,1.928480912311123e-05,2.1934941738056417e-05
44,1.926997457214714e-05,2.0561037615600066e-05
45,1.9233418948091862e-05,2.4554393683251982e-05
46,1.9181933353527632e-05,2.2144650417160648e-05
47,1.9157603001370658e-05,2.2195860160389384e-05
48,1.9074366315335433e-05,2.059818517337351e-05
49,1.9060853156807985e-05,2.0154195011240775e-05
50,1.903625289102823e-05,2.242499573600963e-05
51,1.8876845554410428e-05,2.146642611169702e-05
52,1.885742323641612e-05,2.2429754873265314e-05
53,1.8614446094614483e-05,2.0114556742357736e-05
54,1.849601804786502e-05,2.245160300741158e-05
55,1.8432864933988224e-05,2.0057131523562665e-05
56,1.8406506073835036e-05,2.0600164537077498e-05
57,1.8326184715440897e-05,2.1782215447360997e-05
58,1.8317116386559808e-05,2.116945297133069e-05
59,1.8301905018848254e-05,1.980990200118163e-05
60,1.819374799777851e-05,1.9601195195829123e-05
61,1.8154530382485553e-05,2.1743783358078354e-05
62,1.8009047859492766e-05,2.546034955187178e-05
63,1.7973268259909714e-05,2.098355346984431e-05
